title,artist,artistBio,gender,date,medium,artUrl,imageUrl
Road near L'Estaque,Georges Braque,"French, 1882–1963",Male,"L'Estaque, late summer 1908",Oil on canvas,http://www.moma.org/collection/works/78787,http://www.moma.org/media/W1siZiIsIjE1MDk0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5059265e47631535
The Kill,André Masson,"French, 1896–1987",Male,1944,Oil on canvas,http://www.moma.org/collection/works/78790,http://www.moma.org/media/W1siZiIsIjE1MDk0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2df14b3a1efa6e40
Distorted Circle within a Polygon I,Robert Mangold,"American, born 1937",Male,1972,Synthetic polymer paint on canvas,http://www.moma.org/collection/works/80505,http://www.moma.org/media/W1siZiIsIjE1MDk0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5105b8bf48cf415
Achrome,Piero Manzoni,"Italian, 1933–1963",Male,c. 1960,Kaolin on canvas,http://www.moma.org/collection/works/80507,http://www.moma.org/media/W1siZiIsIjE1MDk0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86e362eb4f92e337
The Big N,Al Held,"American, 1928–2005",Male,1964,Synthetic polymer paint on canvas,http://www.moma.org/collection/works/78795,http://www.moma.org/media/W1siZiIsIjE1MDk1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=045ecf2dc91e6419
Yellow Circle,László Moholy-Nagy,"American, born Hungary. 1895–1946",Male,1921,Oil on canvas,http://www.moma.org/collection/works/80513,http://www.moma.org/media/W1siZiIsIjE1MDk1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc4c60b4eb471790
Between the Clock and the Bed,Jasper Johns,"American, born 1930",Male,1981,"Encaustic on canvas, three panels",http://www.moma.org/collection/works/78797,http://www.moma.org/media/W1siZiIsIjE1MDk1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b9ee49e48807039
Q 1 Suprematistic,László Moholy-Nagy,"American, born Hungary. 1895–1946",Male,1923,Oil on canvas,http://www.moma.org/collection/works/80514,http://www.moma.org/media/W1siZiIsIjE1MDk1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6d0a4f3b6d706fd
Subject from a Dyer's Shop,Lyubov Popova,"Russian, 1889–1924",Female,1914,Oil on canvas,http://www.moma.org/collection/works/80521,http://www.moma.org/media/W1siZiIsIjE1MDk1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=16a6dccf353b5927
Helen,Gerhard Richter,"German, born 1932",Male,1963,Oil and graphite on canvas,http://www.moma.org/collection/works/84188,http://www.moma.org/media/W1siZiIsIjE1MDk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=489c627271b1e3af
